base	entropy
28278	0.004
28280	0.255
28281	0.249
28282	0.250
28291	0.004
28292	0.008
28295	0.013
28296	0.004
28297	0.008
28300	0.027
28302	0.009
28305	0.021
28306	0.004
28308	0.012
28311	0.148
28312	0.004
28313	0.008
28315	0.004
28320	0.004
28321	0.009
28326	0.008
28329	0.004
28337	0.004
28338	0.004
28343	0.004
28344	0.004
28346	0.013
28347	0.004
28356	0.004
28357	0.004
28367	0.004
28373	0.004
28375	0.004
28376	0.008
28378	0.030
28380	0.024
28382	0.004
28389	0.016
28396	0.009
28399	0.008
28411	0.004
28421	0.004
28451	0.004
28457	0.004
28467	0.004
28470	0.004
28471	0.004
28472	0.198
28486	0.004
28487	0.012
28500	0.004
28505	0.004
28512	0.018
28516	0.008
28517	0.004
28519	0.004
28521	0.004
28531	0.008
28541	0.004
28557	0.004
28559	0.004
28560	0.004
28566	0.004
28580	0.004
28581	0.012
28603	0.030
28606	0.008
28628	0.027
28629	0.004
28637	0.004
28638	0.004
28644	0.004
28648	0.015
28651	0.012
28655	0.019
28657	0.128
28674	0.008
28675	0.004
28677	0.018
28681	0.009
28684	0.004
28688	0.058
28690	0.012
28695	0.008
28699	0.004
28703	0.008
28706	0.012
28708	0.015
28720	0.004
28723	0.004
28724	0.004
28727	0.018
28738	0.004
28744	0.012
28748	0.004
28757	0.004
28759	0.041
28761	0.004
28775	0.024
28776	0.004
28777	0.004
28783	0.004
28792	0.015
28804	0.004
28812	0.004
28817	0.004
28820	0.004
28821	0.024
28826	0.004
28827	0.008
28830	0.023
28832	0.004
28833	0.019
28835	0.004
28842	0.012
28843	0.008
28844	0.004
28846	0.074
28849	0.038
28851	0.024
28854	0.175
28857	0.036
28860	0.004
28862	0.004
28863	0.139
28868	0.018
28869	0.201
28877	0.024
28878	0.119
28879	0.004
28881	0.684
28882	0.673
28883	0.673
28884	0.032
28887	0.099
28890	0.015
28892	0.012
28893	0.018
28896	0.008
28899	0.024
28900	0.008
28903	0.029
28905	0.008
28907	0.012
28908	0.111
28910	0.008
28913	0.008
28916	0.013
28922	0.004
28924	0.004
28928	0.051
28932	0.065
28939	0.004
28940	0.008
28948	0.008
28951	0.004
28959	0.004
28960	0.004
28961	0.027
28968	0.013
28969	0.015
28975	0.081
28977	0.258
28979	0.004
28984	0.004
28985	0.023
28995	0.004
28999	0.004
29000	0.004
29005	0.009
29008	0.004
29024	0.004
29027	0.008
29044	0.027
29072	0.004
29074	0.009
29077	0.015
29080	0.004
29085	0.004
29090	0.004
29095	0.041
29100	0.024
29110	0.004
29115	0.004
29118	0.008
29119	0.012
29122	0.004
29131	0.004
29134	0.004
29140	0.013
29141	0.004
29144	0.024
29148	0.117
29149	0.004
29154	0.004
29160	0.004
29167	0.012
29173	0.012
29179	0.065
29194	0.038
29197	0.030
29200	0.024
29202	0.004
29203	0.004
29210	0.004
29212	0.026
29215	0.012
29218	0.012
29224	0.008
29227	0.015
29233	0.004
29234	0.008
29235	0.008
29236	0.004
29243	0.004
29247	0.012
29249	0.004
29250	0.004
29253	0.021
29254	0.004
29260	0.026
29266	0.018
29272	0.008
29274	0.023
29275	0.004
29284	0.004
29296	0.004
29303	0.008
29305	0.008
29311	0.004
29315	0.013
29321	0.004
29322	0.004
29332	0.008
29335	0.004
29353	0.033
29355	0.004
29358	0.021
29362	0.033
29364	0.013
29366	0.012
29367	0.008
29370	0.013
29371	0.004
29372	0.004
29374	0.015
29375	0.018
29377	0.042
29379	0.004
29384	0.018
29386	0.008
29392	0.012
29399	0.043
29400	0.004
29402	0.083
29403	0.012
29405	0.004
29406	0.008
29409	0.008
29411	0.004
29412	0.004
29420	0.008
29421	0.012
29422	0.046
29425	0.008
29427	0.004
29433	0.008
29439	0.018
29440	0.004
29445	0.048
29447	0.004
29449	0.040
29451	0.004
29465	0.004
29468	0.008
29470	0.004
29473	0.004
29474	0.004
29477	0.024
29478	0.004
29497	0.004
29500	0.004
29511	0.004
29513	0.008
29518	0.008
29520	0.004
29523	0.004
29527	0.019
