base	events
28278	1
28280	2
28281	1
28282	1
28291	1
28292	2
28295	2
28296	1
28297	1
28300	4
28302	2
28305	3
28306	1
28308	1
28311	4
28312	1
28313	2
28315	1
28320	1
28321	2
28326	2
28329	1
28337	1
28338	1
28343	1
28344	1
28346	3
28347	1
28356	1
28357	1
28367	1
28373	1
28375	1
28376	2
28378	5
28380	1
28382	1
28389	3
28396	2
28399	2
28411	1
28421	1
28451	1
28457	1
28467	1
28470	1
28471	1
28472	1
28486	1
28487	1
28500	1
28505	1
28512	2
28516	2
28517	1
28519	1
28521	1
28531	1
28541	1
28557	1
28559	1
28560	1
28566	1
28580	1
28581	1
28603	4
28606	2
28628	3
28629	1
28637	1
28638	1
28644	1
28648	1
28651	1
28655	3
28657	4
28674	2
28675	1
28677	1
28681	2
28684	1
28688	2
28690	2
28695	1
28699	1
28703	2
28706	2
28708	4
28720	1
28723	1
28724	1
28727	5
28738	1
28744	2
28748	1
28757	1
28759	2
28761	1
28775	1
28776	1
28777	1
28783	1
28792	2
28804	1
28812	1
28817	1
28820	1
28821	1
28826	1
28827	1
28830	2
28832	1
28833	3
28835	1
28842	1
28843	1
28844	1
28846	3
28849	7
28851	4
28854	4
28857	3
28860	1
28862	1
28863	2
28868	3
28869	5
28877	2
28878	5
28879	1
28881	5
28882	2
28883	1
28884	2
28887	4
28890	1
28892	1
28893	1
28896	1
28899	3
28900	1
28903	3
28905	1
28907	3
28908	2
28910	1
28913	2
28916	2
28922	1
28924	1
28928	1
28932	1
28939	1
28940	1
28948	2
28951	1
28959	1
28960	1
28961	1
28968	2
28969	2
28975	4
28977	2
28979	1
28984	1
28985	5
28995	1
28999	1
29000	1
29005	2
29008	1
29024	1
29027	2
29044	2
29072	1
29074	2
29077	3
29080	1
29085	1
29090	1
29095	4
29100	2
29110	1
29115	1
29118	2
29119	2
29122	1
29131	1
29134	1
29140	3
29141	1
29144	1
29148	1
29149	1
29154	1
29160	1
29167	1
29173	2
29179	4
29194	1
29197	2
29200	6
29202	1
29203	1
29210	1
29212	2
29215	1
29218	2
29224	1
29227	4
29233	1
29234	1
29235	1
29236	1
29243	1
29247	3
29249	1
29250	1
29253	3
29254	1
29260	3
29266	1
29272	2
29274	5
29275	1
29284	1
29296	1
29303	1
29305	1
29311	1
29315	3
29321	1
29322	1
29332	1
29335	1
29353	3
29355	1
29358	2
29362	2
29364	2
29366	1
29367	1
29370	3
29371	1
29372	1
29374	1
29375	1
29377	2
29379	1
29384	1
29386	1
29392	3
29399	1
29400	1
29402	7
29403	1
29405	1
29406	1
29409	1
29411	1
29412	1
29420	2
29421	3
29422	6
29425	2
29427	1
29433	1
29439	1
29440	1
29445	4
29447	1
29449	5
29451	1
29465	1
29468	1
29470	1
29473	1
29474	1
29477	2
29478	1
29497	1
29500	1
29511	1
29513	2
29518	1
29520	1
29523	1
29527	3
